epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1566.5,1.32563,0.91671,0.00346,0.70101,0.67753,0.69881,0.47516,1.17957,0.55085,0.00365,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182
2,3038.68,1.26603,0.63792,0.00326,0.71197,0.6925,0.7181,0.49076,1.18099,0.55799,0.00369,0.0197975,0.00659916,0.0197975,0.00659916,0.0197975,0.00659916,0.0197975,0.00659916
3,4476.58,1.28725,0.63471,0.00333,0.71852,0.68598,0.72077,0.48345,1.20663,0.56225,0.00376,0.0294015,0.00980051,0.0294015,0.00980051,0.0294015,0.00980051,0.0294015,0.00980051
4,5898.55,1.28842,0.63613,0.00338,0.76575,0.70687,0.75481,0.50444,1.17912,0.52177,0.00369,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,7324.18,1.26121,0.59907,0.00327,0.76376,0.72284,0.76104,0.52364,1.16367,0.50923,0.00361,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,8751.49,1.2505,0.57815,0.00321,0.75615,0.73848,0.77559,0.54049,1.15021,0.49008,0.00354,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,10176.9,1.23054,0.55876,0.00315,0.78082,0.7483,0.79771,0.5595,1.13811,0.46728,0.0035,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,11601.5,1.21867,0.54135,0.0031,0.77903,0.76072,0.80177,0.56378,1.12949,0.46559,0.00348,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,13027.9,1.20675,0.53079,0.00307,0.79277,0.76479,0.81422,0.57832,1.1195,0.45209,0.00343,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,14456.5,1.19155,0.51388,0.00302,0.79866,0.7773,0.82021,0.58437,1.11116,0.44393,0.0034,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,15884.2,1.19259,0.51625,0.00302,0.80918,0.77161,0.82848,0.59309,1.10799,0.43989,0.00338,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,17308.6,1.17467,0.50268,0.00298,0.8201,0.77358,0.82854,0.59763,1.10179,0.43441,0.00336,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,18733.6,1.17426,0.49924,0.00296,0.81449,0.77106,0.83196,0.59914,1.1005,0.43252,0.00335,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,20161,1.17512,0.49737,0.00297,0.82147,0.77923,0.83949,0.60866,1.09252,0.42966,0.00333,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,21587.2,1.17073,0.4927,0.00296,0.81682,0.78096,0.84055,0.61161,nan,nan,nan,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,23012.3,1.1623,0.48712,0.00294,0.82271,0.77908,0.84426,0.61334,nan,nan,nan,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,24439.2,1.15204,0.48188,0.00289,0.81992,0.79127,0.8471,0.61631,1.08094,0.41865,0.00328,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,25867,1.15158,0.47556,0.00292,0.82482,0.79303,0.84911,0.61991,1.07663,0.41506,0.00327,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,27291.2,1.1542,0.47782,0.00289,0.83035,0.78691,0.84812,0.62066,1.07472,0.41498,0.00326,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,28715.5,1.14886,0.47221,0.00288,0.82092,0.79941,0.85099,0.62436,1.07308,0.41479,0.00326,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,30141.4,1.14141,0.4638,0.00288,0.83352,0.79498,0.85562,0.62647,1.07271,0.4118,0.00325,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,31568.7,1.1381,0.46564,0.00288,0.83704,0.79418,0.85498,0.62773,1.07094,0.41105,0.00324,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,32995.5,1.13081,0.45989,0.00285,0.83023,0.79845,0.85509,0.62868,1.06811,0.41019,0.00323,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,34419.8,1.13171,0.45616,0.00285,0.83614,0.79626,0.85716,0.62997,1.06819,0.40914,0.00324,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,35846.5,1.12547,0.45238,0.00283,0.84065,0.79746,0.85809,0.6321,1.06716,0.40912,0.00323,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,37274.5,1.12398,0.45065,0.00283,0.85013,0.78705,0.85746,0.63158,1.06576,0.40951,0.00323,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
