epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1186.79,1.43124,1.06388,0.00376,0.63971,0.62257,0.63335,0.41319,1.26891,0.6723,0.00396,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182
2,2354.99,1.35474,0.74275,0.00348,0.70471,0.67893,0.70955,0.46853,1.23141,0.57641,0.00386,0.0195995,0.00653318,0.0195995,0.00653318,0.0195995,0.00653318,0.0195995,0.00653318
3,3208.68,1.36244,0.7329,0.00352,0.65433,0.64687,0.64959,0.42304,1.25359,0.62268,0.00394,0.0288076,0.00960254,0.0288076,0.00960254,0.0288076,0.00960254,0.0288076,0.00960254
4,3866.23,1.36502,0.72958,0.00353,0.65586,0.67803,0.68372,0.45526,1.2173,0.56882,0.00381,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4920.72,1.3388,0.69093,0.00345,0.73367,0.69805,0.72884,0.48723,1.21538,0.5399,0.00378,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,6062.14,1.31393,0.65236,0.00335,0.73723,0.70568,0.7458,0.50622,1.18757,0.52971,0.00367,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,7203.45,1.3004,0.63568,0.0033,0.74355,0.72377,0.76224,0.52394,1.18083,0.50911,0.00365,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,8344.24,1.28566,0.62065,0.00327,0.74762,0.7306,0.76375,0.52637,1.17184,0.50325,0.00361,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,9481.06,1.27528,0.60518,0.00323,0.76836,0.73965,0.77927,0.53963,1.16291,0.49049,0.00359,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,10622.5,1.27166,0.59634,0.00323,0.75952,0.75059,0.78426,0.54824,1.15649,0.48236,0.00355,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,11760.2,1.25925,0.58377,0.00318,0.77954,0.74994,0.79068,0.55428,1.14983,0.4841,0.00353,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,12736.1,1.25404,0.57905,0.00316,0.79549,0.75576,0.80166,0.56739,1.14014,0.47165,0.00349,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,13396.2,1.24743,0.56929,0.00314,0.78766,0.7616,0.80542,0.56928,1.13739,0.46646,0.00347,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,14286.7,1.24142,0.56054,0.00313,0.78784,0.76465,0.80567,0.57193,1.13394,0.46662,0.00346,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,15428,1.23895,0.56041,0.00312,0.78888,0.767,0.81177,0.57473,1.1267,0.46053,0.00344,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,16568.8,1.22948,0.54952,0.00308,0.81263,0.75483,0.816,0.58219,1.12286,0.4556,0.00342,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,17708.1,1.22616,0.54611,0.00308,0.79756,0.78242,0.82718,0.59201,1.11863,0.45005,0.00341,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,18851,1.22215,0.54158,0.00306,0.79535,0.78593,0.82915,0.59321,1.11814,0.44766,0.0034,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,19990.5,1.21419,0.53318,0.00303,0.79931,0.77932,0.82928,0.59573,1.11406,0.44473,0.00339,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,21122,1.20918,0.5283,0.00304,0.80743,0.77899,0.83021,0.59731,1.11121,0.44447,0.00338,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,22259.1,1.20257,0.52254,0.00301,0.80677,0.78394,0.83139,0.59955,1.10933,0.44199,0.00337,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,22919.5,1.19736,0.519,0.00299,0.81419,0.77661,0.83368,0.60123,1.10818,0.44033,0.00337,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,23655.5,1.19534,0.51316,0.00297,0.80985,0.78385,0.83456,0.60326,1.10638,0.43898,0.00336,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,24791.5,1.18689,0.51195,0.00296,0.81425,0.78261,0.8358,0.60473,1.10531,0.43752,0.00336,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,25925.7,1.18683,0.50739,0.00296,0.81916,0.77937,0.83652,0.60513,1.10385,0.43676,0.00335,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,27064.3,1.17816,0.50413,0.00294,0.81837,0.7829,0.8386,0.60603,1.10331,0.43583,0.00335,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,28205.2,1.17439,0.49819,0.00292,0.81541,0.78717,0.83957,0.60694,1.10205,0.43496,0.00335,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,29344.1,1.16614,0.48953,0.00289,0.81486,0.78776,0.83978,0.60752,1.10148,0.43546,0.00335,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,30484.7,1.16454,0.48922,0.00289,0.82298,0.78347,0.84093,0.60881,1.10023,0.43451,0.00334,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,31624.1,1.15683,0.48573,0.00286,0.832,0.77913,0.84188,0.61016,1.09969,0.4338,0.00334,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
