epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,647.118,1.33451,0.96595,1.03095,0.65177,0.63481,0.64754,0.42119,1.20895,0.69307,0.99101,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182
2,883.445,1.26761,0.76974,0.98952,0.69713,0.6587,0.68468,0.45367,1.18615,0.66636,0.988,0.0195995,0.00653318,0.0195995,0.00653318,0.0195995,0.00653318,0.0195995,0.00653318
3,1107.22,1.27481,0.76996,0.99511,0.6508,0.63873,0.64675,0.42454,1.18446,0.66734,0.9888,0.0288076,0.00960254,0.0288076,0.00960254,0.0288076,0.00960254,0.0288076,0.00960254
4,1327.04,1.2586,0.74885,0.99208,0.67712,0.67303,0.68444,0.45526,1.16123,0.6258,0.98056,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1546.57,1.22625,0.70935,0.98243,0.71857,0.69236,0.72036,0.48012,1.15547,0.59526,0.97671,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1766.8,1.20177,0.67719,0.97286,0.74666,0.70098,0.74252,0.5064,1.13392,0.57957,0.96779,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1986.89,1.18743,0.66046,0.96774,0.75609,0.71679,0.75687,0.51662,1.13361,0.56683,0.96615,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2207.28,1.17581,0.64723,0.96507,0.76609,0.72239,0.76345,0.5263,1.125,0.55054,0.96426,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2427.2,1.16433,0.63468,0.96148,0.77373,0.73692,0.77848,0.53851,1.11645,0.54108,0.9608,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2647.86,1.15789,0.62499,0.95961,0.76915,0.74216,0.78113,0.54489,1.1114,0.53459,0.95787,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2868.1,1.14702,0.61547,0.95558,0.78416,0.74712,0.78398,0.55205,1.10389,0.53003,0.95549,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3088.09,1.14232,0.61005,0.95408,0.78713,0.75514,0.79212,0.5602,1.09778,0.52045,0.95344,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3308.36,1.13551,0.60147,0.95175,0.78761,0.76065,0.8031,0.56627,1.09732,0.51479,0.95341,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3528.22,1.13079,0.59716,0.95072,0.79754,0.76007,0.80424,0.57133,1.09288,0.51012,0.95118,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3748.1,1.12747,0.59441,0.95001,0.80926,0.75338,0.80794,0.57358,1.09262,0.50768,0.95161,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3967.96,1.12,0.58761,0.94703,0.80287,0.76561,0.81077,0.57753,1.08867,0.50508,0.94988,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4187.67,1.11632,0.58292,0.94662,0.81386,0.76706,0.82226,0.58548,1.08636,0.49784,0.94873,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4407.85,1.11265,0.57882,0.9451,0.8119,0.77151,0.82226,0.58567,1.08638,0.4963,0.94863,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4628.38,1.10625,0.57265,0.9428,0.80851,0.77319,0.82118,0.5861,1.0822,0.49523,0.94739,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4848.65,1.10312,0.56943,0.94345,0.80538,0.78003,0.82163,0.58829,1.08038,0.49315,0.94673,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5068.77,1.09883,0.56443,0.94088,0.8074,0.77812,0.82151,0.58857,1.07855,0.49082,0.94596,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5288.46,1.09498,0.56205,0.93987,0.80992,0.77854,0.82246,0.59066,1.07709,0.48904,0.94577,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5508.46,1.09222,0.55806,0.93827,0.82441,0.77239,0.82509,0.59264,1.07627,0.48713,0.94559,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5728.17,1.08646,0.55494,0.93728,0.82569,0.77095,0.82665,0.5944,1.07573,0.48559,0.94537,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5948.53,1.0874,0.55301,0.93744,0.8196,0.77413,0.82678,0.5953,1.07478,0.48484,0.945,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6168.43,1.08059,0.54968,0.93618,0.8149,0.77793,0.82892,0.59647,1.07363,0.48394,0.94462,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,6388.18,1.07893,0.5456,0.93537,0.81724,0.78005,0.82956,0.59746,1.07338,0.48254,0.94456,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,6607.79,1.07343,0.54038,0.93278,0.81339,0.78446,0.83069,0.59777,1.07276,0.48185,0.94428,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6827.58,1.0739,0.5397,0.9331,0.81626,0.78267,0.83171,0.59911,1.07219,0.48052,0.94401,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,7047.54,1.06719,0.53626,0.93122,0.81615,0.78549,0.83255,0.59984,1.07179,0.47971,0.94385,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,7267,1.06656,0.53271,0.93188,0.81571,0.78652,0.83334,0.60067,1.07125,0.47883,0.94362,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,7486.6,1.06005,0.5286,0.9295,0.81418,0.79038,0.83399,0.60161,1.07089,0.47829,0.94349,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7706.18,1.05866,0.52647,0.93014,0.8168,0.78823,0.83439,0.6019,1.07036,0.47781,0.94332,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7925.78,1.05164,0.52037,0.92832,0.81538,0.78966,0.83459,0.60238,1.07013,0.47712,0.9432,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8145.31,1.05073,0.51891,0.92819,0.81829,0.78825,0.83483,0.60259,1.06988,0.47651,0.94311,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
