epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,215.411,2.24342,2.3633,0.00359,0.39351,0.24537,0.23418,0.14146,2.05148,1.60789,0.0037,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,413.53,2.01441,1.44743,0.00255,0.43058,0.33995,0.33686,0.20572,1.93216,1.37811,0.00332,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,609.887,1.96067,1.33578,0.00239,0.44478,0.36064,0.35735,0.21711,1.91474,1.33935,0.0032,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,805.198,1.92097,1.28041,0.00232,0.47968,0.38155,0.38589,0.23277,1.86011,1.28307,0.00312,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1001.6,1.89129,1.23156,0.00226,0.47595,0.39958,0.39835,0.24154,1.84789,1.27366,0.00307,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1196.15,1.88238,1.20755,0.0022,0.5027,0.40009,0.40824,0.2481,1.82272,1.24833,0.00302,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1389.3,1.85734,1.17464,0.00217,0.50717,0.4107,0.4152,0.25157,1.80403,1.23495,0.00297,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1584.78,1.84607,1.15215,0.00213,0.51734,0.41138,0.42182,0.25434,1.80555,1.23026,0.00296,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1780.57,1.82139,1.1249,0.0021,0.51696,0.42456,0.43038,0.26174,1.77091,1.20749,0.00289,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1977.16,1.82068,1.1133,0.00207,0.53469,0.42198,0.43387,0.26547,1.76643,1.19181,0.00289,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2172.24,1.79867,1.09327,0.00206,0.52808,0.41679,0.43207,0.26423,1.75461,1.19163,0.00287,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2364.98,1.79343,1.08889,0.00204,0.52085,0.41753,0.42915,0.26034,1.75448,1.2,0.00287,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
