epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.796,1.83835,2.29176,0.99855,0.2642,0.20873,0.18328,0.10517,1.63586,1.33218,0.95857,0.000237412,0.000237412,0.000237412
2,165.266,1.574,1.24559,0.93202,0.33114,0.2519,0.23306,0.1367,1.54172,1.17818,0.93134,0.000465999,0.000465999,0.000465999
3,207.733,1.52899,1.16249,0.92198,0.34618,0.26816,0.24985,0.1454,1.5061,1.14732,0.9219,0.000685161,0.000685161,0.000685161
4,249.699,1.50078,1.12263,0.91568,0.36311,0.27951,0.26712,0.15778,1.47636,1.12107,0.91565,0.000671588,0.000671588,0.000671588
5,292.077,1.47877,1.09277,0.91166,0.35904,0.29131,0.27705,0.16293,1.47643,1.09853,0.91199,0.000657451,0.000657451,0.000657451
6,334.986,1.47815,1.07154,0.90756,0.39426,0.29767,0.29027,0.17074,1.45253,1.07741,0.90731,0.000643314,0.000643314,0.000643314
7,377.136,1.46502,1.05001,0.90567,0.38703,0.3131,0.29809,0.17538,1.43542,1.06199,0.9042,0.000629177,0.000629177,0.000629177
8,419.418,1.45234,1.03291,0.90194,0.39373,0.3238,0.30682,0.18078,1.43604,1.04998,0.90533,0.00061504,0.00061504,0.00061504
9,462.127,1.43826,1.01855,0.89937,0.4115,0.3193,0.30991,0.18327,1.42682,1.0463,0.90068,0.000600902,0.000600902,0.000600902
10,504.655,1.43662,1.00792,0.89544,0.39746,0.32119,0.3122,0.18385,1.4211,1.03332,0.90004,0.000586765,0.000586765,0.000586765
11,546.771,1.41593,0.98485,0.89458,0.42011,0.3353,0.32397,0.19103,1.41145,1.02392,0.89786,0.000572628,0.000572628,0.000572628
12,589.877,1.41614,0.98702,0.89295,0.4114,0.33583,0.32833,0.19306,1.40982,1.01475,0.89673,0.000558491,0.000558491,0.000558491
13,632.421,1.40602,0.9712,0.89245,0.43157,0.33298,0.33042,0.19499,1.39799,1.01883,0.89472,0.000544354,0.000544354,0.000544354
14,674.652,1.40005,0.97004,0.88921,0.40939,0.33778,0.33069,0.19473,1.39576,1.00544,0.89397,0.000530216,0.000530216,0.000530216
15,716.712,1.41014,0.96472,0.88835,0.42304,0.34797,0.3371,0.19941,1.3885,0.99835,0.89052,0.000516079,0.000516079,0.000516079
16,758.66,1.4029,0.95419,0.8899,0.42104,0.34511,0.33846,0.2004,1.38682,0.99704,0.8899,0.000501942,0.000501942,0.000501942
17,801.576,1.39506,0.94804,0.88648,0.44393,0.34542,0.34406,0.20423,1.38922,0.98892,0.89359,0.000487805,0.000487805,0.000487805
18,844.535,1.3925,0.94199,0.88582,0.44978,0.33739,0.34272,0.20306,1.38311,0.99163,0.89185,0.000473668,0.000473668,0.000473668
19,886.148,1.37816,0.93297,0.88569,0.44541,0.34708,0.34672,0.20494,1.3887,0.98547,0.89264,0.00045953,0.00045953,0.00045953
20,928.471,1.37585,0.92611,0.88392,0.43197,0.34878,0.3442,0.20388,1.37729,0.98006,0.88854,0.000445393,0.000445393,0.000445393
21,970.619,1.37426,0.92081,0.88178,0.45062,0.35213,0.35144,0.20797,1.37051,0.97742,0.88857,0.000431256,0.000431256,0.000431256
22,1012.71,1.36638,0.91513,0.88086,0.44501,0.35596,0.35157,0.2093,1.37476,0.97046,0.88961,0.000417119,0.000417119,0.000417119
23,1055.8,1.3636,0.91084,0.88213,0.44936,0.35655,0.35335,0.20982,1.37414,0.9761,0.8885,0.000402982,0.000402982,0.000402982
24,1097.95,1.35825,0.90495,0.87965,0.46413,0.35412,0.35842,0.21364,1.37032,0.96733,0.88815,0.000388844,0.000388844,0.000388844
25,1139.79,1.356,0.89728,0.87902,0.45718,0.35324,0.36013,0.21343,1.37329,0.96526,0.88787,0.000374707,0.000374707,0.000374707
26,1181.18,1.36278,0.89962,0.88032,0.46365,0.35031,0.35336,0.20982,1.37086,0.97244,0.8851,0.00036057,0.00036057,0.00036057
27,1223.02,1.35463,0.89379,0.87596,0.46099,0.35207,0.35788,0.21264,1.36868,0.96524,0.88697,0.000346433,0.000346433,0.000346433
28,1264.44,1.35013,0.88694,0.87472,0.45058,0.35428,0.35644,0.21031,1.36769,0.96609,0.88652,0.000332296,0.000332296,0.000332296
29,1305.93,1.3504,0.88345,0.87505,0.45607,0.35927,0.36042,0.21469,1.36259,0.95935,0.88611,0.000318158,0.000318158,0.000318158
30,1348,1.34898,0.87761,0.87465,0.46951,0.35518,0.36121,0.21394,1.36401,0.96757,0.88549,0.000304021,0.000304021,0.000304021
31,1390.27,1.33898,0.875,0.87504,0.47002,0.35409,0.36378,0.21481,1.36228,0.96017,0.88513,0.000289884,0.000289884,0.000289884
32,1433.42,1.34432,0.87097,0.87295,0.45164,0.36239,0.36286,0.21525,1.36098,0.9595,0.88502,0.000275747,0.000275747,0.000275747
33,1476.35,1.33918,0.86907,0.87349,0.46533,0.36162,0.36475,0.21522,1.3579,0.95288,0.88384,0.00026161,0.00026161,0.00026161
34,1517.84,1.33682,0.8666,0.87159,0.46914,0.35607,0.36564,0.21589,1.35861,0.94945,0.88529,0.000247472,0.000247472,0.000247472
35,1559.94,1.33223,0.85829,0.87122,0.46335,0.36519,0.36481,0.21525,1.36554,0.95799,0.88561,0.000233335,0.000233335,0.000233335
36,1602.26,1.32439,0.85166,0.87131,0.4757,0.3596,0.36644,0.21744,1.35462,0.95081,0.88329,0.000219198,0.000219198,0.000219198
37,1644.57,1.32257,0.84956,0.87042,0.46961,0.36085,0.36538,0.21584,1.35863,0.95717,0.88381,0.000205061,0.000205061,0.000205061
38,1686.65,1.32814,0.85044,0.8695,0.47054,0.35911,0.36715,0.21777,1.35541,0.95224,0.88364,0.000190924,0.000190924,0.000190924
39,1728.73,1.32106,0.8403,0.86771,0.47194,0.36372,0.36746,0.2168,1.35481,0.95295,0.88343,0.000176786,0.000176786,0.000176786
