epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3443,2.2016,2.41402,0.00298,0.39652,0.26074,0.22353,0.12387,2.05137,1.6476,0.00364,0.000237412,0.000237412,0.000237412
2,148.817,2.13324,1.67769,0.00273,0.36402,0.29447,0.27056,0.15492,2.01075,1.54377,0.00352,0.000469529,0.000469529,0.000469529
3,207.127,2.12011,1.59549,0.00268,0.38837,0.29884,0.28757,0.16639,2.00258,1.54464,0.00345,0.000695755,0.000695755,0.000695755
4,264.864,2.09186,1.56077,0.00264,0.38128,0.31805,0.30218,0.17453,1.97297,1.47668,0.00342,0.000687493,0.000687493,0.000687493
5,322.592,2.07157,1.51945,0.00261,0.4071,0.3255,0.31191,0.18001,1.97794,1.47074,0.00338,0.000678657,0.000678657,0.000678657
6,379.763,2.06953,1.48913,0.00256,0.42741,0.33002,0.32229,0.18962,1.95634,1.45306,0.00335,0.000669821,0.000669821,0.000669821
7,438.118,2.05666,1.46573,0.00255,0.43142,0.33066,0.32761,0.18978,1.95327,1.43667,0.00334,0.000660986,0.000660986,0.000660986
8,495.929,2.04624,1.44195,0.00252,0.45071,0.3387,0.34154,0.19648,1.95207,1.42919,0.00329,0.00065215,0.00065215,0.00065215
9,553.515,2.02736,1.42499,0.0025,0.44002,0.33527,0.34005,0.19848,1.94723,1.418,0.0033,0.000643314,0.000643314,0.000643314
10,611.562,2.02611,1.41595,0.00246,0.4412,0.34771,0.34188,0.19819,1.95103,1.40312,0.00329,0.000634478,0.000634478,0.000634478
11,668.804,2.00993,1.3953,0.00246,0.44324,0.3485,0.34911,0.20404,1.91737,1.38715,0.00323,0.000625642,0.000625642,0.000625642
12,726.62,2.00694,1.39361,0.00245,0.44499,0.34931,0.35226,0.20628,1.91867,1.39847,0.00323,0.000616807,0.000616807,0.000616807
13,783.982,1.99189,1.36801,0.00244,0.45285,0.35306,0.35414,0.20624,1.9118,1.39786,0.00325,0.000607971,0.000607971,0.000607971
14,841.277,1.98967,1.36669,0.00241,0.47189,0.34995,0.36266,0.21201,1.91046,1.36811,0.00326,0.000599135,0.000599135,0.000599135
15,899.285,1.99637,1.36069,0.00239,0.4643,0.36064,0.36322,0.21213,1.91037,1.36653,0.0032,0.0005903,0.0005903,0.0005903
16,957.183,1.98705,1.34885,0.0024,0.45835,0.36497,0.36479,0.21521,1.89772,1.35513,0.00318,0.000581464,0.000581464,0.000581464
17,1015.19,1.97919,1.3389,0.00237,0.46229,0.36456,0.36598,0.21223,1.92615,1.36521,0.00323,0.000572628,0.000572628,0.000572628
18,1072.62,1.97856,1.33271,0.00237,0.47984,0.36006,0.37065,0.21882,1.89419,1.35793,0.00317,0.000563792,0.000563792,0.000563792
19,1130.16,1.95863,1.31791,0.00237,0.48291,0.36269,0.3748,0.21969,1.90432,1.35513,0.00318,0.000554956,0.000554956,0.000554956
20,1187.59,1.96157,1.31362,0.00235,0.48196,0.36633,0.37322,0.21979,1.89061,1.33582,0.00316,0.000546121,0.000546121,0.000546121
21,1245.33,1.95233,1.30942,0.00234,0.48501,0.3757,0.38234,0.22434,1.88756,1.32014,0.00318,0.000537285,0.000537285,0.000537285
22,1303.28,1.95069,1.30328,0.00232,0.47562,0.36802,0.37578,0.22107,1.89374,1.34674,0.00317,0.000528449,0.000528449,0.000528449
23,1360.6,1.93534,1.2938,0.00233,0.48681,0.37085,0.38172,0.22619,1.8741,1.32201,0.00313,0.000519613,0.000519613,0.000519613
24,1418.22,1.93781,1.2842,0.0023,0.49562,0.36839,0.3863,0.22731,1.88023,1.31976,0.00315,0.000510778,0.000510778,0.000510778
25,1475.84,1.93417,1.27777,0.0023,0.48919,0.37213,0.38359,0.2265,1.87538,1.31888,0.00313,0.000501942,0.000501942,0.000501942
26,1533.07,1.93871,1.28143,0.00231,0.4986,0.37247,0.38713,0.22782,1.87,1.31474,0.00312,0.000493106,0.000493106,0.000493106
27,1590.58,1.92825,1.27274,0.00227,0.50078,0.3724,0.39022,0.23184,1.86196,1.30652,0.00309,0.000484271,0.000484271,0.000484271
28,1647.89,1.92306,1.2601,0.00226,0.49858,0.3695,0.38997,0.22845,1.86287,1.31271,0.0031,0.000475435,0.000475435,0.000475435
29,1705.28,1.92094,1.25728,0.00226,0.50194,0.37192,0.39156,0.23104,1.86618,1.303,0.00311,0.000466599,0.000466599,0.000466599
30,1763.17,1.92551,1.2495,0.00226,0.48343,0.37644,0.38723,0.22938,1.85938,1.30363,0.00309,0.000457763,0.000457763,0.000457763
31,1820.69,1.91522,1.24909,0.00226,0.49091,0.38025,0.39484,0.23346,1.85909,1.2918,0.00308,0.000448928,0.000448928,0.000448928
32,1878.79,1.91762,1.24437,0.00224,0.4894,0.38178,0.39094,0.23182,1.86558,1.30486,0.00311,0.000440092,0.000440092,0.000440092
33,1936.99,1.91201,1.24152,0.00225,0.49796,0.38234,0.39754,0.23557,1.86245,1.29395,0.00309,0.000431256,0.000431256,0.000431256
34,1994.67,1.90436,1.23359,0.00222,0.51194,0.38246,0.39846,0.23485,1.85664,1.29302,0.00308,0.00042242,0.00042242,0.00042242
35,2052.02,1.9022,1.22418,0.00221,0.50327,0.38242,0.39811,0.23616,1.84982,1.28969,0.00306,0.000413584,0.000413584,0.000413584
36,2109.66,1.88851,1.21639,0.00222,0.50922,0.37838,0.39396,0.236,1.84571,1.29768,0.00304,0.000404749,0.000404749,0.000404749
37,2166.87,1.89061,1.21458,0.00221,0.50076,0.3827,0.39742,0.23689,1.84274,1.29892,0.00305,0.000395913,0.000395913,0.000395913
38,2224.68,1.8933,1.21447,0.0022,0.4995,0.38603,0.3971,0.23616,1.85497,1.29979,0.00307,0.000387077,0.000387077,0.000387077
39,2282.13,1.88699,1.20514,0.00218,0.50792,0.39116,0.40026,0.23804,1.85022,1.29156,0.00306,0.000378242,0.000378242,0.000378242
40,2340.48,1.88545,1.20341,0.00219,0.50658,0.37791,0.3952,0.23515,1.84348,1.29383,0.00303,0.000369406,0.000369406,0.000369406
41,2397.95,1.87451,1.19185,0.00218,0.51247,0.38296,0.40247,0.23913,1.8345,1.28332,0.00303,0.00036057,0.00036057,0.00036057
42,2456.5,1.8749,1.19146,0.00218,0.50421,0.3966,0.40568,0.24204,1.83757,1.28297,0.00303,0.000351734,0.000351734,0.000351734
43,2514.34,1.88387,1.19288,0.00216,0.50362,0.38715,0.40087,0.24002,1.84569,1.28679,0.00305,0.000342899,0.000342899,0.000342899
44,2572.2,1.87113,1.17623,0.00216,0.50315,0.3853,0.40032,0.23788,1.84424,1.28828,0.00305,0.000334063,0.000334063,0.000334063
45,2629.58,1.86767,1.17844,0.00215,0.50183,0.38878,0.40049,0.23788,1.84357,1.28975,0.00305,0.000325227,0.000325227,0.000325227
